element,sp_num,obs_wl_vac(A),unc_obs_wl,ritz_wl_vac(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Fe,2,20029.2928,0.0009,20029.271,0.004,27bl(Fe I),3.8E+05,E,105414.186,110406.879,3d6.(3F2).4d,4G,5/2,3d6.(3F2).5p,4F*,3/2,,T6892c83,L18349c148,
Fe,1,20029.294,0.012,20029.287,0.006,1480,,,47960.940,52953.629,3d7.(4F).5s,e 3F,4,3d6.(3G).4s.4p.(3P*),x 3F*,4,,,L11631,
Fe,2,20032.689,0.008,20032.697,0.005,0.5,,,101698.519,106690.358,3d6.(5D).6s,6D,9/2,3d5.(2I).4s.4p.(3P*),2H*,11/2,,,L18349c139,
Fe,2,20041.093,0.003,20041.0923,0.0020,1.1,1.9E+05,E,105155.093,110144.841,3d6.(3F2).4d,4G,9/2,3d6.(3F2).5p,4F*,7/2,,T6892c83,L18349c139,
Fe,1,20047.00,0.03,20046.998,0.013,62,,,54683.322,59671.600,3d7.(4F).4d,f 3F,4,3d7.(4F<5/2>).4f,2[9/2]*,5,,,L11631,
Fe,1,20047.54,0.03,20047.533,0.009,16,,,54683.322,59671.467,3d7.(4F).4d,f 3F,4,3d7.(4F<5/2>).4f,2[7/2]*,4,,,L11631,
Fe,2,20052.2707,0.0016,20052.268,0.004,2.6,,,102030.965,107017.932,3d6.(5D).6s,6D,7/2,3d5.(2D3).4s.4p.(3P*),4D*,5/2,,,L18349c139,
Fe,2,20060.206,0.013,20060.205,0.003,0.28,2E+05,D,103921.637,108906.631,3d6.(3H).4d,4G,7/2,3d5.(4G).4s.4p.(1P*),4H*,7/2,,T6892c83,L18349c139,
Fe,1,20061.672,0.012,20061.662,0.009,33,,,48928.388,53913.020,3d7.(4F).5s,e 3F,2,3d6.(3D).4s.4p.(3P*),5D*,2,,,L11631,
Fe,1,20073.60,0.03,20073.622,0.009,44,,,53610.412,58592.074,3d7.(4F).5p,5D*,4,3d7.(4F).5d,5F,4,,,L11631,
Fe,2,20073.603,0.015,20073.570,0.007,2.6bl(Fe I),5.9E+04,D+,79284.919,84266.594,3d5.(6S).4s.4p.(1P*),x 6P*,5/2,3d6.(5D).4d,6P,7/2,,T6892c83,L18349c148,
Fe,2,20074.2841,0.0010,20074.2829,0.0016,50,,,102543.689,107525.187,3d6.(5D).6s,6D,3/2,3d6.(5D).6p,6P*,5/2,,,L18349c148,
Fe,1,20075.75,0.03,20075.746,0.009,47,,,51692.010,56673.145,3d6.(5D).4s (6D).5p,u 5P*,3,3d6.4s.(6D).5d,5G,4,,,L11631,
Fe,1,20077.58,0.03,20077.568,0.006,15,,,46313.537,51294.220,3d7.(4P).4p,w 5P*,2,3d6.(5D).4s (4D).5s,e 3D,3,,,L11631,
Fe,1,20088.64,0.03,20088.631,0.006,15,,,46727.074,51705.014,3d6.(3P2).4s.4p.(3P*),y 3P*,2,3d6.(5D).4s (6D).4d,f 5F,2,,,L11631,
Fe,2,20089.3934,0.0019,20089.386,0.003,1.7bl(Fe I),3.8E+05,E,103832.057,108809.810,3d6.(3H).4d,4K,13/2,3d5.(4G).4s.(5G).4p,4H*,11/2,,T6892c83,L18349c148,
Fe,1,20089.396,0.012,20089.438,0.006,100,,,45726.130,50703.870,3d6.(3F2).4s.4p.(3P*),x 5G*,5,3d6.(5D).4s (6D).4d,e 5G,5,,,L11631,
Fe,1,20097.544,0.012,20097.533,0.009,302,,,51361.391,56337.126,3d6.(5D).4s (6D).5p,t 5D*,3,3d6.4s.(6D).5d,5D,3,,,L11631,
Fe,1,20113.40,0.03,20113.403,0.013,26,,,53739.438,58711.247,3d7.(4F).4d,e 3G,5,3d7.(4F<9/2>).4f,2[7/2]*,4,,,L11631,
Fe,1,20114.48,0.03,20114.492,0.009,44,,,53747.500,58719.040,3d7.(4F).4d,f 3D,3,3d7.(4F<9/2>).4f,2[5/2]*,3,,,L11631,
Fe,1,20123.78,0.03,20123.789,0.009,12,,,42991.697,47960.940,3d6.(3H).4s.4p.(3P*),z 5H*,5,3d7.(4F).5s,e 3F,4,,,L11631,
Fe,2,20127.8108,0.0010,20127.8076,0.0024,13,,,103118.421,108086.672,3d6.(5D).6s,4D,3/2,3d6.(5D).6p,4P*,1/2,,,L18349c148,
Fe,1,20129.02,0.03,20129.047,0.013,11,,,53739.438,58707.383,3d7.(4F).4d,e 3G,5,3d7.(4F<9/2>).4f,2[9/2]*,5,,,L11631,
Fe,1,20131.90,0.06,20131.896,0.011,37,,,52110.601,57077.843,3d6.(5D).4s (6D).5p,u 5P*,1,3d6.4s.(6D).5d,5F,1,,,L11631,
Fe,2,20143.77,0.03,20143.774,0.003,0.14,6E+03,E,105449.557,110413.870,3d6.(5D).5d,4G,7/2,3d6.(3H).5p,2G*,7/2,,T6892c83,L18349c139,
Fe,2,20144.5362,0.0010,20144.5371,0.0016,11,,,102334.140,107298.265,3d6.(5D).6s,6D,5/2,3d5.(2F1).4s.4p.(3P*),4G*,5/2,,,L18349c148,
Fe,1,20148.558,0.012,20148.543,0.006,95,,,48928.388,53891.526,3d7.(4F).5s,e 3F,2,3d6.(3D).4s.4p.(3P*),5D*,3,,,L11631,
Fe,2,20159.9730,0.0016,20159.933,0.004,1.1,,,113501.226,118461.560,3d6.(5D<3>).5g,2[3],7/2,3d6.(5D<4>).6h,2[3]*,7/2,,,L18349c139,
Fe,2,20165.05,0.03,20165.0794,0.0024,0.8,5.7E+04,D+,85679.755,90638.823,3d6.(5D).4d,e 4G,5/2,3d6.(5D).5p,4D*,5/2,,T6892c83,L18349c139,
Fe,2,20168.878,0.014,20168.8862,0.0024,0.19,3.3E+03,E,105288.874,110247.006,3d6.(3F2).4d,4H,13/2,3d6.(3H).5p,2I*,11/2,,T6892c83,L18349c139,
Fe,1,20171.83,0.03,20171.811,0.009,18,,,53747.500,58704.913,3d7.(4F).4d,f 3D,3,3d7.(4F<9/2>).4f,2[9/2]*,4,,,L11631,
Fe,2,20175.287,0.009,20175.287,0.004,0.31,6E+04,E,104315.373,109271.932,3d6.(3H).4d,2K,13/2,3d5.(2I).4s.4p.(3P*),2I*,11/2,,T6892c83,L18349c139,
Fe,2,20177.13,0.03,20177.139,0.004,0.15,5E+04,E,104572.924,109529.028,3d6.(3P2).4d,4F,3/2,3d6.(3P2).5p,4P*,1/2,,T6892c83,L18349c139,
Fe,1,20178.92,0.03,20178.910,0.009,35,,,51381.457,56337.126,3d6.(5D).4s (6D).5p,u 5F*,4,3d6.4s.(6D).5d,5D,3,,,L11631,
Fe,2,20179.827,0.020,20179.7817,0.0020,0.19,1.6E+03,D,105211.079,110166.534,3d6.(5D).5d,4G,9/2,3d6.(3F2).5p,4F*,9/2,,T6892c83,L18349c139,
Fe,2,20182.372,0.006,20182.3638,0.0020,0.6,,,102543.689,107498.510,3d6.(5D).6s,6D,3/2,3d6.(5D).6p,4D*,3/2,,,L18349c139,
Fe,1,20183.90,0.06,20183.920,0.006,26,,,19552.478,24506.917,3d6.4s2,a 3P2,1,3d6.(5D).4s.4p.(3P*),z 7P*,2,,,L11631,
Fe,2,20196.677,0.018,20196.7650,0.0020,0.24,,,105065.627,110016.915,3d6.(5D).5d,6G,7/2,3d6.(3H).5p,4G*,5/2,,,L18349c145,
Fe,2,20198.2087,0.0010,20198.2131,0.0020,27,,,101698.519,106649.452,3d6.(5D).6s,6D,9/2,3d5.(4F).4s.4p.(3P*),6F*,11/2,,,L18349c145,
Fe,2,20204.778,0.009,20204.784,0.004,0.31,,,104507.058,109456.381,3d6.(3H).4d,4F,5/2,3d6.(3P2).5p,4P*,3/2,,,L18349c139,
Fe,1,20207.232,0.012,20207.241,0.006,33,,,46888.517,51837.238,3d7.(4P).4p,u 5D*,2,3d6.(5D).4s (6D).4d,e 5P,3,,,L11631,
Fe,2,20212.960,0.005,20212.968,0.003,0.6,1.7E+05,D,103921.637,108868.956,3d6.(3H).4d,4G,7/2,3d6.(3H).5p,4H*,9/2,,T6892c83,L18349c139,
Fe,2,20215.704,0.014,20215.718,0.003,0.19,2.2E+05,E,105460.233,110406.879,3d6.(3F2).4d,4D,3/2,3d6.(3F2).5p,4F*,3/2,,T6892c83,L18349c139,
Fe,1,20217.34,0.03,20217.324,0.009,13,,,49433.131,54379.384,3d7.(2G).4p,w 3F*,2,3d7.(4F).4d,e 3G,3,,,L11631,
Fe,2,20218.660,0.010,20218.669,0.004,0.24,3.5E+04,E,105220.610,110166.534,3d6.(3H).4d,4F,7/2,3d6.(3F2).5p,4F*,9/2,,T6892c83,L18349c139,
Fe,3,,,20221.1,0.6,,3.31E-02,B+,30857.69,35803.01,3d6,3D,3,3d6,a 1D,2,M1,u45,,
Fe,2,20227.7491,0.0011,20227.654,0.007,2.6,,,108929.031,113872.758,3d6.(3G).4d,4I,9/2,3d6.(5D<1>).5f,2[4]*,9/2,,,L18349c145,
Fe,1,20233.501,0.012,20233.495,0.006,65,,,51837.238,56779.538,3d6.(5D).4s (6D).4d,e 5P,3,3d6.4s.(6D<9/2>).4f,2[5/2]*,2,,,L11631,
Fe,2,20234.474,0.005,20234.4607,0.0020,0.7,2.7E+04,E,103597.409,108539.473,3d6.(3P2).4d,2F,5/2,3d5.(2F1).4s.4p.(3P*),4F*,5/2,,T6892c83,L18349c139,
Fe,2,20235.412,0.010,20235.415,0.003,0.22,,,108539.473,113481.304,3d5.(2F1).4s.4p.(3P*),4F*,5/2,3d6.(5D).7s,4D,3/2,,,L18349c139,
Fe,1,20242.80,0.03,20242.817,0.006,29,,,51837.238,56777.262,3d6.(5D).4s (6D).4d,e 5P,3,3d6.4s.(6D<9/2>).4f,2[5/2]*,3,,,L11631,
Fe,2,20248.760,0.003,20248.760,0.004,1.1,1.7E+03,D,103191.968,108130.542,3d6.(3P2).4d,2F,7/2,3d5.(4F).4s.4p.(3P*),6D*,5/2,,T6892c83,L18349c139,
Fe,2,20249.5330,0.0010,20249.5309,0.0021,11,,,102666.741,107605.127,3d6.(5D).6s,6D,1/2,3d6.(5D).6p,6F*,3/2,,,L18349c148,
Fe,2,20253.54,0.03,20253.550,0.003,0.12,,,107459.780,112397.186,3d5.(2F1).4s.4p.(3P*),4G*,7/2,3d6.(5D).7s,6D,9/2,,,L18349c139,
Fe,1,20259.60,0.03,20259.590,0.009,26,,,53768.979,58704.913,3d7.(4F).4d,f 5G,4,3d7.(4F<9/2>).4f,2[9/2]*,4,,,L11631,
Fe,2,20261.182,0.007,20261.171,0.004,0.4,1.1E+05,E,103874.261,108809.810,3d6.(3H).4d,4H,9/2,3d5.(4G).4s.(5G).4p,4H*,11/2,,T6892c83,L18349c139,
Fe,2,20262.48,0.03,20262.431,0.003,1.7bl(Fe II)*,,,107947.255,112882.497,3d6.(5D).6p,4P*,3/2,3d5.(6S).4p2,6P,5/2,,,L18349c148,
Fe,2,20262.48,0.03,20262.468,0.008,1.7bl(Fe II)*,1.9E+04,D+,79331.361,84266.594,3d5.(6S).4s.4p.(1P*),x 6P*,7/2,3d6.(5D).4d,6P,7/2,,T6892c83,L18349c148,
Fe,2,20263.533,0.012,20263.5641,0.0021,0.8,6.7E+03,D+,85462.907,90397.873,3d6.(5D).4d,e 4G,7/2,3d6.(5D).5p,4D*,7/2,,T6892c83,L18349c139,
Fe,2,20267.665,0.002,20267.663,0.003,1.6,,,102802.353,107736.321,3d6.(5D).6s,4D,5/2,3d6.(5D).6p,4F*,3/2,,,L18349c139,
Fe,2,20272.913,0.002,20272.914,0.003,1,,,106900.373,111833.063,3d6.(3F2).4d,2G,7/2,3d6.(3F2).5p,2F*,5/2,,,L18349c139,
Fe,1,20276.33,0.03,20276.346,0.009,32,,,53768.979,58700.834,3d7.(4F).4d,f 5G,4,3d7.(4F<9/2>).4f,2[11/2]*,5,,,L11631,
Fe,1,20279.881,0.012,20279.883,0.009,81,,,53661.079,58592.074,3d7.(4F).5p,5F*,3,3d7.(4F).5d,5F,4,,,L11631,
Fe,1,20286.620,0.012,20286.622,0.006,510,,,40404.518,45333.875,3d6.(5D).4s.4p.(1P*),x 5D*,1,3d6.(5D).4s (6D).5s,e 5D,2,,,L11631,
Fe,2,20288.275,0.007,20288.276,0.007,0.4,3.6E+05,E,105477.924,110406.879,3d6.(3F2).4d,4D,1/2,3d6.(3F2).5p,4F*,3/2,,T6892c83,L18349c139,
Fe,1,20288.855,0.012,20288.852,0.006,87,,,51837.238,56766.053,3d6.(5D).4s (6D).4d,e 5P,3,3d6.4s.(6D<9/2>).4f,2[7/2]*,3,,,L11631,
Fe,1,20294.13,0.08,20294.127,0.006,16bl*,,,49627.884,54555.418,3d7.(2G).4p,v 3G*,4,3d7.(4F).4d,e 3H,4,,,L11631,
Fe,1,20294.13,0.08,20294.147,0.006,16bl*,,,51837.238,56764.767,3d6.(5D).4s (6D).4d,e 5P,3,3d6.4s.(6D<9/2>).4f,2[7/2]*,4,,,L11631,
Fe,1,20294.756,0.012,20294.749,0.006,26,,,47755.537,52682.920,3d7.(4F).5s,e 5F,3,3d7.(2D2).4p,t 3D*,2,,,L11631,
Fe,2,20298.0497,0.0010,20298.0484,0.0016,6,,,102802.353,107728.935,3d6.(5D).6s,4D,5/2,3d5.(2D3).4s.4p.(3P*),2D*,5/2,,,L18349c148,
Fe,2,20299.9859,0.0010,20299.9851,0.0025,23,,,101698.519,106624.631,3d6.(5D).6s,6D,9/2,3d5.(4F).4s.4p.(3P*),6F*,9/2,,,L18349c148,
Fe,2,20312.257,0.004,20312.260,0.003,0.8,8E+03,E,103983.496,108906.631,3d6.(3G).5s,e 2G,7/2,3d5.(4G).4s.4p.(1P*),4H*,7/2,,T6892c83,L18349c139,
Fe,5,,,20318.2,2.1,,6.6E-04,C,25225.5,30147.2,3d4,3H,5,3d4,3G,4,M1+E2,"T9277,T9274",,
Fe,1,20320.382,0.012,20320.379,0.006,25,,,49558.734,54479.902,3d6.(5D).4s (6D).5p,n 7D*,4,3d6.4s.(6D).6s,5D,4,,,L11631,
Fe,2,20323.996,0.006,20323.993,0.003,0.5,5E+05,D,103986.338,108906.631,3d6.(3H).4d,4H,7/2,3d5.(4G).4s.4p.(1P*),4H*,7/2,,T6892c83,L18349c139,
Fe,2,20332.16,0.02,20332.191,0.003,0.19,4.5E+04,E,104993.879,109912.188,3d6.(3F2).4d,4D,7/2,3d6.(3H).5p,4I*,9/2,,T6892c83,L18349c139,
Fe,1,20334.745,0.012,20334.734,0.006,69,,,51837.238,56754.932,3d6.(5D).4s (6D).4d,e 5P,3,3d6.4s.(6D<9/2>).4f,2[9/2]*,4,,,L11631,
Fe,2,20337.298,0.012,20337.298,0.003,0.24,1.2E+04,E,105063.561,109980.635,3d6.(3F2).4d,4G,11/2,3d5.(2H).4s.4p.(3P*),4H*,11/2,,T6892c83,L18349c139,
Fe,2,20348.696,0.011,20348.699,0.012,0.09,,,113363.028,118277.347,3d6.(5D<3>).5f,2[2]*,3/2,3d5.4p2,4P,3/2,,,L18349c139,
Fe,1,20355.276,0.012,20355.269,0.006,83,,,33765.306,38678.039,3d8,c 3F,2,3d7.(4F).4p,y 3D*,2,,,L11631,
Fe,2,20355.768,0.002,20355.675,0.005,0.8bl(Ne),,,113982.895,118895.530,3d6.(5D<1>).5g,2[3],5/2,3d6.(5D<3>).6h,2[2]*,3/2,,,L18349c148,
Fe,2,20363.022,0.002,20363.020,0.003,1.6,,,102543.689,107454.552,3d6.(5D).6s,6D,3/2,3d5.(2D3).4s.4p.(3P*),4D*,1/2,,,L18349c139,
Fe,2,20366.4071,0.0010,20366.4080,0.0025,32,,,101698.519,106608.565,3d6.(5D).6s,6D,9/2,3d6.(5D).6p,6D*,7/2,,,L18349c148,
Fe,2,20366.694,0.002,20366.6942,0.0021,5,1.73E+05,C+,85728.846,90638.823,3d6.(5D).4d,4S,3/2,3d6.(5D).5p,4D*,5/2,,T6892c83,L18349c139,
Fe,1,20368.83,0.08,20368.826,0.006,245bl,,,48928.388,53837.851,3d7.(4F).5s,e 3F,2,3d7.(4F).5p,3D*,3,,,L11631,
Fe,2,20368.8323,0.0011,20368.781,0.003,2.9bl(Fe I),,,107966.642,112876.116,3d5.(4F).4s.4p.(3P*),6D*,9/2,3d6.(5D).7s,4D,7/2,,,L18349c148,
Fe,1,20377.81,0.08,20377.788,0.013,43bl,,,51827.854,56735.158,3d6.(5D).4s (6D).5p,t 5D*,1,3d6.4s.(6D).5d,5D,1,,,L11631,
Fe,2,20379.974,0.003,20379.9765,0.0021,5,2.6E+05,C+,84424.422,89331.199,3d6.(5D).4d,6P,3/2,3d6.(5D).5p,6D*,3/2,,T6892c83,L18349c139,
Fe,2,20383.103,0.006,20383.0962,0.0021,0.5,3.4E+04,E,105238.815,110144.841,3d6.(3P2).4d,2D,5/2,3d6.(3F2).5p,4F*,7/2,,T6892c83,L18349c139,
Fe,2,20384.694,0.003,20384.692,0.003,0.8,3.5E+05,E,105763.286,110668.928,3d6.(3F2).4d,2H,11/2,3d6.(3H).5p,2H*,11/2,,T6892c83,L18349c139,
Fe,2,20393.5889,0.0010,20393.5923,0.0017,8,,,102394.764,107298.265,3d6.(5D).6s,4D,7/2,3d5.(2F1).4s.4p.(3P*),4G*,5/2,,,L18349c148,
Fe,5,,,20402,3,,4.7E-02,B,25528.4,30429.9,3d4,3H,6,3d4,3G,5,M1,T9277,,
Fe,2,20404.243,0.005,20404.249,0.005,4,8E+02,D,83713.583,88614.523,3d6.(5D).4d,6D,7/2,3d5.(4P).4s.4p.(3P*),6D*,9/2,,T6892c83,L18349c139,
Fe,1,20411.557,0.012,20411.554,0.006,98,,,43137.487,48036.673,3d6.(3H).4s.4p.(3P*),y 5G*,3,3d7.(4F).5s,e 5F,2,,,L11631,
Fe,2,20428.290,0.003,20428.283,0.003,1,3.1E+05,D,103973.782,108868.956,3d6.(3H).4d,4K,11/2,3d6.(3H).5p,4H*,9/2,,T6892c83,L18349c139,
Fe,2,20448.904,0.005,20448.907,0.003,0.31bl(Fe I),,,109625.216,114515.453,3d6.(3G).4d,2G,9/2,3d6.(3G).5p,2H*,11/2,,,L18349c148,
Fe,1,20448.91,0.08,20448.915,0.006,36bl,,,47177.234,52067.469,3d7.(4P).4p,u 5D*,1,3d6.(5D).4s (6D).4d,e 5P,2,,,L11631,
Fe,2,20457.8140,0.0017,20457.817,0.003,9,1.4E+04,D+,83726.416,88614.523,3d6.(5D).4d,6D,9/2,3d5.(4P).4s.4p.(3P*),6D*,9/2,,T6892c83,L18349c139,
Fe,2,20461.797,0.012,20461.802,0.003,0.24,4.1E+04,E,104569.226,109456.381,3d6.(3P2).4d,4F,5/2,3d6.(3P2).5p,4P*,3/2,,T6892c83,L18349c139,
Fe,5,,,20472.1,2.1,,4.2E-02,B,24932.4,29817.1,3d4,3H,4,3d4,3G,3,M1,T9277,,
Fe,2,20477.3303,0.0014,20477.297,0.003,2.6bl(Fe II)*,1.4E+04,E,104572.924,109456.381,3d6.(3P2).4d,4F,3/2,3d6.(3P2).5p,4P*,3/2,,T6892c83,L18349c148,
Fe,2,20477.3303,0.0014,20477.331,0.003,2.6bl(Fe II)*,4.1E+05,D,103600.428,108483.877,3d6.(3H).4d,4G,11/2,3d6.(3H).5p,4G*,11/2,,T6892c83,L18349c148,
Fe,1,20479.56,0.03,20479.570,0.009,14,,,54379.384,59262.299,3d7.(4F).4d,e 3G,3,3d7.(4F<7/2>).4f,2[9/2]*,4,,,L11631,
Fe,2,20480.924,0.016,20480.816,0.003,0.3bl(Fe II)*,1.4E+05,D,103986.338,108868.956,3d6.(3H).4d,4H,7/2,3d6.(3H).5p,4H*,9/2,,T6892c83,L18349c148,
Fe,2,20480.924,0.016,20480.9584,0.0021,0.3bl(Fe II)*,1.6E+04,D+,85184.773,90067.357,3d6.(5D).4d,e 4G,9/2,3d6.(3F1).4p,4G*,9/2,,T6892c83,L18349c148,
Fe,1,20491.95,0.03,20491.938,0.009,24,,,48928.388,53808.356,3d7.(4F).5s,e 3F,2,3d7.(2P).4p,x 3S*,1,,,L11631,
Fe,2,20500.829,0.007,20500.8186,0.0021,0.4,,,104916.552,109794.406,3d6.(3F2).4d,4F,9/2,3d5.(2G2).4s.4p.(3P*),4H*,11/2,,,L18349c139,
Fe,1,20504.277,0.013,20504.287,0.006,17,,,46727.074,51604.103,3d6.(3P2).4s.4p.(3P*),y 3P*,2,3d6.(5D).4s (6D).4d,f 5F,3,,,L11631,
Fe,1,20533.774,0.013,20533.813,0.006,78,,,43434.627,48304.643,3d6.(5D).4s (6D).5s,e 7D,3,3d7.(4P).4p,x 3P*,2,,,L11631,
Fe,2,20535.195,0.005,20535.205,0.004,0.33,,,110008.310,114877.996,3d6.(3G).4d,2H,9/2,3d6.(3G).5p,2G*,9/2,,,L18349c139,
Fe,2,20538.645,0.006,20538.642,0.005,0.27,,,109901.523,114770.394,3d6.(3G).4d,2G,7/2,3d6.(3G).5p,2H*,9/2,,,L18349c139,
Fe,2,20549.492,0.003,20549.493,0.003,1.3,2.2E+05,D,103617.577,108483.877,3d6.(3H).4d,4H,13/2,3d6.(3H).5p,4G*,11/2,,T6892c83,L18349c139,
Fe,2,20559.464,0.008,20559.468,0.004,0.4,1.6E+05,D,104042.692,108906.631,3d6.(3H).4d,4G,5/2,3d5.(4G).4s.4p.(1P*),4H*,7/2,,T6892c83,L18349c139,
Fe,2,20563.5803,0.0010,20563.578,0.003,11,,,102334.140,107197.107,3d6.(5D).6s,6D,5/2,3d6.(5D).6p,6P*,7/2,,,L18349c148,
Fe,2,20567.773,0.003,20567.7734,0.0021,5,2.7E+05,C+,84266.594,89128.569,3d6.(5D).4d,6P,7/2,3d5.(4P).4s.4p.(3P*),6P*,7/2,,T6892c83,L18349c139,
Fe,1,20569.574,0.013,20569.580,0.006,56,,,46137.097,50998.645,3d7.(4P).4p,w 5P*,3,3d6.(5D).4s (6D).4d,f 7D,2,,,L11631,
Fe,2,20576.8769,0.0010,20576.881,0.004,14,,,92647.591,97507.414,3d6.(3F1).4p,4D*,3/2,3d6.(3P2).5s,4P,5/2,,,L18349c145,
Fe,1,20579.90,0.03,20579.900,0.006,24,,,46744.993,51604.103,3d7.(4P).4p,u 5D*,3,3d6.(5D).4s (6D).4d,f 5F,3,,,L11631,
Fe,2,20584.487,0.010,20584.4714,0.0021,1,9.2E+04,C+,85184.773,90042.804,3d6.(5D).4d,e 4G,9/2,3d6.(5D).5p,4F*,9/2,,T6892c83,L18349c139,
Fe,1,20589.81,0.08,20589.807,0.006,363bl,,,48531.865,53388.637,3d7.(4F).5s,e 3F,3,3d7.(4F).5p,5F*,4,,,L11631,
Fe,2,20589.8137,0.0010,20589.812,0.003,4bl(Fe I),,,109571.639,114428.410,3d5.(2G2).4s.4p.(3P*),4H*,7/2,3d6.(5D).6d,114428,7/2,,,L18349c148,
Fe,2,20590.55,0.04,20590.5281,0.0021,0.07,,,108130.542,112987.144,3d5.(4F).4s.4p.(3P*),6D*,5/2,3d6.(5D).7s,6D,5/2,,,L18349c139,
Fe,1,20591.769,0.013,20591.770,0.006,29,,,50008.522,54864.831,3d6.(5D).4s (6D).5p,n 7D*,2,3d6.4s.(6D).6s,5D,3,,,L11631,
Fe,2,20592.616,0.012,20592.623,0.003,0.23,6E+04,E,104993.879,109849.987,3d6.(3F2).4d,4D,7/2,3d5.(2H).4s.4p.(3P*),4G*,9/2,,T6892c83,L18349c139,
Fe,1,20600.55,0.08,20600.556,0.006,19bl,,,40207.091,45061.329,3d5.(6S).4s2.4p,y 7P*,3,3d6.(5D).4s (6D).5s,e 5D,3,,,L11631,
Fe,2,20600.552,0.011,20600.526,0.003,0.23bl(Fe I),8E+02,D,104765.459,109619.704,3d6.(3H).4d,2I,11/2,3d6.(3H).5p,4I*,13/2,,T6892c83,L18349c148,
Fe,1,20605.988,0.013,20605.985,0.006,20,,,45333.875,50186.834,3d6.(5D).4s (6D).5s,e 5D,2,3d7.(2P).4p,w 3P*,2,,,L11631,
Fe,2,20606.405,0.008,20606.4138,0.0021,1.8,1.32E+05,C+,84266.594,89119.452,3d6.(5D).4d,6P,7/2,3d6.(5D).5p,6D*,5/2,,T6892c83,L18349c139,
Fe,1,20607.23,0.03,20607.233,0.006,18*,,,46901.832,51754.497,3d6.(3P2).4s.4p.(3P*),y 3P*,1,3d6.(5D).4s (6D).4d,f 5F,1,,,L11631,
Fe,1,20607.23,0.03,20607.238,0.015,18*,,,54224.420,59077.084,3d7.(4F).5p,5F*,1,,59077e,1,,,L11631,
Fe,2,20615.1932,0.0016,20615.190,0.003,2.1,5E+05,E,103878.370,108729.162,3d6.(3H).4d,4I,15/2,3d6.(3H).5p,4H*,13/2,,T6892c83,L18349c139,
Fe,1,20620.84,0.03,20620.844,0.010,47,,,51630.001,56479.463,3d6.(5D).4s (6D).5p,t 5D*,2,3d6.4s.(6D).5d,5D,2,,,L11631,
Fe,2,20624.41,0.02,20624.395,0.004,0.13bl(Fe I),,,105063.561,109912.188,3d6.(3F2).4d,4G,11/2,3d6.(3H).5p,4I*,9/2,,,L18349c148,
Fe,1,20624.42,0.09,20624.451,0.015,14bl,,,54237.213,59085.827,3d7.(4F).4d,e 5H,4,3d6.(3H).4s.4p.(1P*),3I*,5,,,L11631,
Fe,2,20633.6060,0.0015,20633.592,0.005,1.6,,,106097.530,110943.996,3d6.(3F2).4d,2H,9/2,3d6.(3H).5p,2H*,9/2,,,L18349c139,
Fe,1,20634.902,0.013,20634.890,0.010,126,,,51361.391,56207.552,3d6.(5D).4s (6D).5p,t 5D*,3,3d6.4s.(6D).5d,5D,4,,,L11631,
Fe,1,20635.327,0.013,20635.316,0.010,2630,,,47960.940,52807.001,3d7.(4F).5s,e 3F,4,3d7.(4F).5p,3G*,5,,,L11631,
Fe,2,20636.927,0.015,20636.909,0.003,0.14,,,104916.552,109762.239,3d6.(3F2).4d,4F,9/2,3d6.(3H).5p,4I*,11/2,,,L18349c139,
Fe,1,20638.918,0.013,20638.923,0.006,20,,,42532.741,47377.955,3d6.(3P2).4s.4p.(3P*),x 5P*,3,3d7.(4F).5s,e 5F,4,,,L11631,
Fe,2,20644.133,0.005,20644.143,0.003,0.5,,,106900.373,111744.362,3d6.(3F2).4d,2G,7/2,3d6.(3F2).5p,2G*,7/2,,,L18349c139,
Fe,1,20654.34,0.03,20654.342,0.006,18,,,32133.991,36975.588,3d6.(5D).4s.4p.(3P*),z 3F*,2,3d7.(2F).4s,d 3F,3,,,L11631,
Fe,2,20656.121,0.009,20656.112,0.003,0.21,2.6E+04,E,105449.557,110290.739,3d6.(5D).5d,4G,7/2,3d6.(3F1).5p,4D*,5/2,,T6892c83,L18349c139,
Fe,2,20670.891,0.008,20670.890,0.003,1.8,9.7E+04,C+,85462.907,90300.628,3d6.(5D).4d,e 4G,7/2,3d6.(5D).5p,6F*,7/2,,T6892c83,L18349c139,
Fe,1,20680.926,0.013,20680.928,0.006,40,,,46313.537,51148.910,3d7.(4P).4p,w 5P*,2,3d6.(5D).4s (6D).4d,e 5S,2,,,L11631,
Fe,1,20681.341,0.013,20681.347,0.010,68,,,47377.955,52213.230,3d7.(4F).5s,e 5F,4,3d7.(2D2).4p,t 3D*,3,,,L11631,
Fe,1,20683.001,0.013,20682.985,0.010,120,,,48928.388,53763.280,3d7.(4F).5s,e 3F,2,3d7.(2D2).4p,x 1F*,3,,,L11631,
Fe,2,20692.5597,0.0010,20692.5593,0.0017,11,,,102030.965,106863.620,3d6.(5D).6s,6D,7/2,3d6.(5D).6p,4D*,7/2,,,L18349c148,
Fe,2,20694.7184,0.0018,20694.722,0.003,1.1,,,109683.303,114515.453,3d6.(3G).4d,2H,11/2,3d6.(3G).5p,2H*,11/2,,,L18349c139,
